Periode,Date,IPC,Date2,JOIN,LEFT,RIGHT,DAY
1949-03,3/1/1949,4.986,1/3/1949,1/3/1949,1949,3,1
=======,,,,,,,
Periode,Date,IPC,Date2,JOIN,LEFT,RIGHT,DAY
2025-03,3/1/2025,120.42,1/3/2025,1/3/2025,2025,3,1
2025-02,2/1/2025,120.16,1/2/2025,1/2/2025,2025,2,1
2025-01,1/1/2025,120.14,1/1/2025,1/1/2025,2025,1,1
2024-12,12/1/2024,119.95,1/12/2024,1/12/2024,2024,12,1
2024-11,11/1/2024,119.72,1/11/2024,1/11/2024,2024,11,1
2024-10,10/1/2024,119.89,1/10/2024,1/10/2024,2024,10,1
2024-09,9/1/2024,119.56,1/9/2024,1/9/2024,2024,9,1
2024-08,8/1/2024,121.06,1/8/2024,1/8/2024,2024,8,1
2024-07,7/1/2024,120.42,1/7/2024,1/7/2024,2024,7,1
2024-06,6/1/2024,120.2,1/6/2024,1/6/2024,2024,6,1
2024-05,5/1/2024,120.11,1/5/2024,1/5/2024,2024,5,1
2024-04,4/1/2024,120.07,1/4/2024,1/4/2024,2024,4,1
2024-03,3/1/2024,119.47,1/3/2024,1/3/2024,2024,3,1
2024-02,2/1/2024,119.21,1/2/2024,1/2/2024,2024,2,1
2024-01,1/1/2024,118.19,1/1/2024,1/1/2024,2024,1,1
2023-12,12/1/2023,118.39,1/12/2023,1/12/2023,2023,12,1
2023-11,11/1/2023,118.23,1/11/2023,1/11/2023,2023,11,1
2023-10,10/1/2023,118.43,1/10/2023,1/10/2023,2023,10,1
2023-09,9/1/2023,118.26,1/9/2023,1/9/2023,2023,9,1
2023-08,8/1/2023,118.89,1/8/2023,1/8/2023,2023,8,1
2023-07,7/1/2023,117.71,1/7/2023,1/7/2023,2023,7,1
2023-06,6/1/2023,117.65,1/6/2023,1/6/2023,2023,6,1
2023-05,5/1/2023,117.44,1/5/2023,1/5/2023,2023,5,1
2023-04,4/1/2023,117.5,1/4/2023,1/4/2023,2023,4,1
2023-03,3/1/2023,116.79,1/3/2023,1/3/2023,2023,3,1
2023-02,2/1/2023,115.78,1/2/2023,1/2/2023,2023,2,1
2023-01,1/1/2023,114.6,1/1/2023,1/1/2023,2023,1,1
2022-12,12/1/2022,114.16,1/12/2022,1/12/2022,2022,12,1
2022-11,11/1/2022,114.26,1/11/2022,1/11/2022,2022,11,1
2022-10,10/1/2022,113.9,1/10/2022,1/10/2022,2022,10,1
2022-09,9/1/2022,112.74,1/9/2022,1/9/2022,2022,9,1
2022-08,8/1/2022,113.38,1/8/2022,1/8/2022,2022,8,1
2022-07,7/1/2022,112.87,1/7/2022,1/7/2022,2022,7,1
2022-06,6/1/2022,112.55,1/6/2022,1/6/2022,2022,6,1
2022-05,5/1/2022,111.72,1/5/2022,1/5/2022,2022,5,1
2022-04,4/1/2022,110.97,1/4/2022,1/4/2022,2022,4,1
2022-03,3/1/2022,110.49,1/3/2022,1/3/2022,2022,3,1
2022-02,2/1/2022,108.94,1/2/2022,1/2/2022,2022,2,1
2022-01,1/1/2022,108.12,1/1/2022,1/1/2022,2022,1,1
2021-12,12/1/2021,107.85,1/12/2021,1/12/2021,2021,12,1
2021-11,11/1/2021,107.64,1/11/2021,1/11/2021,2021,11,1
2021-10,10/1/2021,107.25,1/10/2021,1/10/2021,2021,10,1
2021-09,9/1/2021,106.81,1/9/2021,1/9/2021,2021,9,1
2021-08,8/1/2021,107.05,1/8/2021,1/8/2021,2021,8,1
2021-07,7/1/2021,106.4,1/7/2021,1/7/2021,2021,7,1
2021-06,6/1/2021,106.34,1/6/2021,1/6/2021,2021,6,1
2021-05,5/1/2021,106.2,1/5/2021,1/5/2021,2021,5,1
2021-04,4/1/2021,105.86,1/4/2021,1/4/2021,2021,4,1
2021-03,3/1/2021,105.75,1/3/2021,1/3/2021,2021,3,1
2021-02,2/1/2021,105.12,1/2/2021,1/2/2021,2021,2,1
2021-01,1/1/2021,105.12,1/1/2021,1/1/2021,2021,1,1
2020-12,12/1/2020,104.96,1/12/2020,1/12/2020,2020,12,1
2020-11,11/1/2020,104.73,1/11/2020,1/11/2020,2020,11,1
2020-10,10/1/2020,104.51,1/10/2020,1/10/2020,2020,10,1
2020-09,9/1/2020,104.55,1/9/2020,1/9/2020,2020,9,1
2020-08,8/1/2020,105.09,1/8/2020,1/8/2020,2020,8,1
2020-07,7/1/2020,105.19,1/7/2020,1/7/2020,2020,7,1
2020-06,6/1/2020,104.79,1/6/2020,1/6/2020,2020,6,1
2020-05,5/1/2020,104.71,1/5/2020,1/5/2020,2020,5,1
2020-04,4/1/2020,104.56,1/4/2020,1/4/2020,2020,4,1
2020-03,3/1/2020,104.59,1/3/2020,1/3/2020,2020,3,1
2020-02,2/1/2020,104.53,1/2/2020,1/2/2020,2020,2,1
2020-01,1/1/2020,104.54,1/1/2020,1/1/2020,2020,1,1
2019-12,12/1/2019,104.98,1/12/2019,1/12/2019,2019,12,1
2019-11,11/1/2019,104.52,1/11/2019,1/11/2019,2019,11,1
2019-10,10/1/2019,104.46,1/10/2019,1/10/2019,2019,10,1
2019-09,9/1/2019,104.5,1/9/2019,1/9/2019,2019,9,1
2019-08,8/1/2019,104.86,1/8/2019,1/8/2019,2019,8,1
2019-07,7/1/2019,104.38,1/7/2019,1/7/2019,2019,7,1
2019-06,6/1/2019,104.58,1/6/2019,1/6/2019,2019,6,1
2019-05,5/1/2019,104.33,1/5/2019,1/5/2019,2019,5,1
2019-04,4/1/2019,104.22,1/4/2019,1/4/2019,2019,4,1
2019-03,3/1/2019,103.89,1/3/2019,1/3/2019,2019,3,1
2019-02,2/1/2019,103.06,1/2/2019,1/2/2019,2019,2,1
2019-01,1/1/2019,103.01,1/1/2019,1/1/2019,2019,1,1
2018-12,12/1/2018,103.47,1/12/2018,1/12/2018,2018,12,1
2018-11,11/1/2018,103.45,1/11/2018,1/11/2018,2018,11,1
2018-10,10/1/2018,103.67,1/10/2018,1/10/2018,2018,10,1
2018-09,9/1/2018,103.56,1/9/2018,1/9/2018,2018,9,1
2018-08,8/1/2018,103.78,1/8/2018,1/8/2018,2018,8,1
2018-07,7/1/2018,103.28,1/7/2018,1/7/2018,2018,7,1
2018-06,6/1/2018,103.37,1/6/2018,1/6/2018,2018,6,1
2018-05,5/1/2018,103.36,1/5/2018,1/5/2018,2018,5,1
2018-04,4/1/2018,102.92,1/4/2018,1/4/2018,2018,4,1
2018-03,3/1/2018,102.75,1/3/2018,1/3/2018,2018,3,1
2018-02,2/1/2018,101.72,1/2/2018,1/2/2018,2018,2,1
2018-01,1/1/2018,101.75,1/1/2018,1/1/2018,2018,1,1
2017-12,12/1/2017,101.85,1/12/2017,1/12/2017,2017,12,1
2017-11,11/1/2017,101.53,1/11/2017,1/11/2017,2017,11,1
2017-10,10/1/2017,101.43,1/10/2017,1/10/2017,2017,10,1
2017-09,9/1/2017,101.33,1/9/2017,1/9/2017,2017,9,1
2017-08,8/1/2017,101.49,1/8/2017,1/8/2017,2017,8,1
2017-07,7/1/2017,100.97,1/7/2017,1/7/2017,2017,7,1
2017-06,6/1/2017,101.32,1/6/2017,1/6/2017,2017,6,1
2017-05,5/1/2017,101.31,1/5/2017,1/5/2017,2017,5,1
2017-04,4/1/2017,101.26,1/4/2017,1/4/2017,2017,4,1
2017-03,3/1/2017,101.17,1/3/2017,1/3/2017,2017,3,1
2017-02,2/1/2017,100.53,1/2/2017,1/2/2017,2017,2,1
2017-01,1/1/2017,100.41,1/1/2017,1/1/2017,2017,1,1
2016-12,12/1/2016,100.65,1/12/2016,1/12/2016,2016,12,1
2016-11,11/1/2016,100.35,1/11/2016,1/11/2016,2016,11,1
2016-10,10/1/2016,100.37,1/10/2016,1/10/2016,2016,10,1
2016-09,9/1/2016,100.34,1/9/2016,1/9/2016,2016,9,1
2016-08,8/1/2016,100.58,1/8/2016,1/8/2016,2016,8,1
2016-07,7/1/2016,100.25,1/7/2016,1/7/2016,2016,7,1
2016-06,6/1/2016,100.63,1/6/2016,1/6/2016,2016,6,1
2016-05,5/1/2016,100.5,1/5/2016,1/5/2016,2016,5,1
2016-04,4/1/2016,100.09,1/4/2016,1/4/2016,2016,4,1
2016-03,3/1/2016,100.02,1/3/2016,1/3/2016,2016,3,1
2016-02,2/1/2016,99.33,1/2/2016,1/2/2016,2016,2,1
2016-01,1/1/2016,99.08,1/1/2016,1/1/2016,2016,1,1
2015-12,12/1/2015,100.04,1/12/2015,1/12/2015,2015,12,1
2015-11,11/1/2015,99.82,1/11/2015,1/11/2015,2015,11,1
2015-10,10/1/2015,100.01,1/10/2015,1/10/2015,2015,10,1
2015-09,9/1/2015,99.95,1/9/2015,1/9/2015,2015,9,1
2015-08,8/1/2015,100.35,1/8/2015,1/8/2015,2015,8,1
2015-07,7/1/2015,100.03,1/7/2015,1/7/2015,2015,7,1
2015-06,6/1/2015,100.44,1/6/2015,1/6/2015,2015,6,1
2015-05,5/1/2015,100.52,1/5/2015,1/5/2015,2015,5,1
2015-04,4/1/2015,100.28,1/4/2015,1/4/2015,2015,4,1
2015-03,3/1/2015,100.17,1/3/2015,1/3/2015,2015,3,1
2015-02,2/1/2015,99.52,1/2/2015,1/2/2015,2015,2,1
2015-01,1/1/2015,98.86,1/1/2015,1/1/2015,2015,1,1
2014-12,12/1/2014,99.86,1/12/2014,1/12/2014,2014,12,1
2014-11,11/1/2014,99.78,1/11/2014,1/11/2014,2014,11,1
2014-10,10/1/2014,99.95,1/10/2014,1/10/2014,2014,10,1
2014-09,9/1/2014,99.92,1/9/2014,1/9/2014,2014,9,1
2014-08,8/1/2014,100.3,1/8/2014,1/8/2014,2014,8,1
2014-07,7/1/2014,99.86,1/7/2014,1/7/2014,2014,7,1
2014-06,6/1/2014,100.18,1/6/2014,1/6/2014,2014,6,1
2014-05,5/1/2014,100.22,1/5/2014,1/5/2014,2014,5,1
2014-04,4/1/2014,100.2,1/4/2014,1/4/2014,2014,4,1
2014-03,3/1/2014,100.24,1/3/2014,1/3/2014,2014,3,1
2014-02,2/1/2014,99.79,1/2/2014,1/2/2014,2014,2,1
2014-01,1/1/2014,99.24,1/1/2014,1/1/2014,2014,1,1
2013-12,12/1/2013,99.8,1/12/2013,1/12/2013,2013,12,1
2013-11,11/1/2013,99.46,1/11/2013,1/11/2013,2013,11,1
2013-10,10/1/2013,99.5,1/10/2013,1/10/2013,2013,10,1
2013-09,9/1/2013,99.63,1/9/2013,1/9/2013,2013,9,1
2013-08,8/1/2013,99.86,1/8/2013,1/8/2013,2013,8,1
2013-07,7/1/2013,99.4,1/7/2013,1/7/2013,2013,7,1
2013-06,6/1/2013,99.7,1/6/2013,1/6/2013,2013,6,1
2013-05,5/1/2013,99.54,1/5/2013,1/5/2013,2013,5,1
2013-04,4/1/2013,99.48,1/4/2013,1/4/2013,2013,4,1
2013-03,3/1/2013,99.63,1/3/2013,1/3/2013,2013,3,1
2013-02,2/1/2013,98.88,1/2/2013,1/2/2013,2013,2,1
2013-01,1/1/2013,98.6,1/1/2013,1/1/2013,2013,1,1
2012-12,12/1/2012,99.1,1/12/2012,1/12/2012,2012,12,1
2012-11,11/1/2012,98.79,1/11/2012,1/11/2012,2012,11,1
2012-10,10/1/2012,98.94,1/10/2012,1/10/2012,2012,10,1
2012-09,9/1/2012,98.76,1/9/2012,1/9/2012,2012,9,1
2012-08,8/1/2012,99,1/8/2012,1/8/2012,2012,8,1
2012-07,7/1/2012,98.35,1/7/2012,1/7/2012,2012,7,1
2012-06,6/1/2012,98.78,1/6/2012,1/6/2012,2012,6,1
2012-05,5/1/2012,98.75,1/5/2012,1/5/2012,2012,5,1
2012-04,4/1/2012,98.8,1/4/2012,1/4/2012,2012,4,1
2012-03,3/1/2012,98.67,1/3/2012,1/3/2012,2012,3,1
2012-02,2/1/2012,97.86,1/2/2012,1/2/2012,2012,2,1
2012-01,1/1/2012,97.46,1/1/2012,1/1/2012,2012,1,1
2011-12,12/1/2011,97.8,1/12/2011,1/12/2011,2011,12,1
2011-11,11/1/2011,97.41,1/11/2011,1/11/2011,2011,11,1
2011-10,10/1/2011,97.14,1/10/2011,1/10/2011,2011,10,1
2011-09,9/1/2011,96.91,1/9/2011,1/9/2011,2011,9,1
2011-08,8/1/2011,96.98,1/8/2011,1/8/2011,2011,8,1
2011-07,7/1/2011,96.48,1/7/2011,1/7/2011,2011,7,1
2011-06,6/1/2011,96.91,1/6/2011,1/6/2011,2011,6,1
2011-05,5/1/2011,96.83,1/5/2011,1/5/2011,2011,5,1
2011-04,4/1/2011,96.78,1/4/2011,1/4/2011,2011,4,1
2011-03,3/1/2011,96.45,1/3/2011,1/3/2011,2011,3,1
2011-02,2/1/2011,95.67,1/2/2011,1/2/2011,2011,2,1
2011-01,1/1/2011,95.22,1/1/2011,1/1/2011,2011,1,1
2010-12,12/1/2010,95.45,1/12/2010,1/12/2010,2010,12,1
2010-11,11/1/2010,95.02,1/11/2010,1/11/2010,2010,11,1
2010-10,10/1/2010,94.91,1/10/2010,1/10/2010,2010,10,1
2010-09,9/1/2010,94.79,1/9/2010,1/9/2010,2010,9,1
2010-08,8/1/2010,94.86,1/8/2010,1/8/2010,2010,8,1
2010-07,7/1/2010,94.64,1/7/2010,1/7/2010,2010,7,1
2010-06,6/1/2010,94.91,1/6/2010,1/6/2010,2010,6,1
2010-05,5/1/2010,94.92,1/5/2010,1/5/2010,2010,5,1
2010-04,4/1/2010,94.81,1/4/2010,1/4/2010,2010,4,1
2010-03,3/1/2010,94.57,1/3/2010,1/3/2010,2010,3,1
2010-02,2/1/2010,94.11,1/2/2010,1/2/2010,2010,2,1
2010-01,1/1/2010,93.59,1/1/2010,1/1/2010,2010,1,1
2009-12,12/1/2009,93.8,1/12/2009,1/12/2009,2009,12,1
2009-11,11/1/2009,93.55,1/11/2009,1/11/2009,2009,11,1
2009-10,10/1/2009,93.42,1/10/2009,1/10/2009,2009,10,1
2009-09,9/1/2009,93.33,1/9/2009,1/9/2009,2009,9,1
2009-08,8/1/2009,93.56,1/8/2009,1/8/2009,2009,8,1
2009-07,7/1/2009,93.08,1/7/2009,1/7/2009,2009,7,1
2009-06,6/1/2009,93.5,1/6/2009,1/6/2009,2009,6,1
2009-05,5/1/2009,93.38,1/5/2009,1/5/2009,2009,5,1
2009-04,4/1/2009,93.24,1/4/2009,1/4/2009,2009,4,1
2009-03,3/1/2009,93.09,1/3/2009,1/3/2009,2009,3,1
2009-02,2/1/2009,92.92,1/2/2009,1/2/2009,2009,2,1
2009-01,1/1/2009,92.57,1/1/2009,1/1/2009,2009,1,1
2008-12,12/1/2008,92.95,1/12/2008,1/12/2008,2008,12,1
2008-11,11/1/2008,93.18,1/11/2008,1/11/2008,2008,11,1
2008-10,10/1/2008,93.62,1/10/2008,1/10/2008,2008,10,1
2008-09,9/1/2008,93.67,1/9/2008,1/9/2008,2008,9,1
2008-08,8/1/2008,93.73,1/8/2008,1/8/2008,2008,8,1
2008-07,7/1/2008,93.76,1/7/2008,1/7/2008,2008,7,1
2008-06,6/1/2008,93.96,1/6/2008,1/6/2008,2008,6,1
2008-05,5/1/2008,93.62,1/5/2008,1/5/2008,2008,5,1
2008-04,4/1/2008,93.12,1/4/2008,1/4/2008,2008,4,1
2008-03,3/1/2008,92.81,1/3/2008,1/3/2008,2008,3,1
2008-02,2/1/2008,92.12,1/2/2008,1/2/2008,2008,2,1
2008-01,1/1/2008,91.92,1/1/2008,1/1/2008,2008,1,1
2007-12,12/1/2007,92.03,1/12/2007,1/12/2007,2007,12,1
2007-11,11/1/2007,91.69,1/11/2007,1/11/2007,2007,11,1
2007-10,10/1/2007,91.19,1/10/2007,1/10/2007,2007,10,1
2007-09,9/1/2007,90.96,1/9/2007,1/9/2007,2007,9,1
2007-08,8/1/2007,90.86,1/8/2007,1/8/2007,2007,8,1
2007-07,7/1/2007,90.49,1/7/2007,1/7/2007,2007,7,1
2007-06,6/1/2007,90.72,1/6/2007,1/6/2007,2007,6,1
2007-05,5/1/2007,90.61,1/5/2007,1/5/2007,2007,5,1
2007-04,4/1/2007,90.39,1/4/2007,1/4/2007,2007,4,1
2007-03,3/1/2007,89.95,1/3/2007,1/3/2007,2007,3,1
2007-02,2/1/2007,89.57,1/2/2007,1/2/2007,2007,2,1
2007-01,1/1/2007,89.4,1/1/2007,1/1/2007,2007,1,1
2006-12,12/1/2006,89.71,1/12/2006,1/12/2006,2006,12,1
2006-11,11/1/2006,89.5,1/11/2006,1/11/2006,2006,11,1
2006-10,10/1/2006,89.4,1/10/2006,1/10/2006,2006,10,1
2006-09,9/1/2006,89.6,1/9/2006,1/9/2006,2006,9,1
2006-08,8/1/2006,89.8,1/8/2006,1/8/2006,2006,8,1
2006-07,7/1/2006,89.5,1/7/2006,1/7/2006,2006,7,1
2006-06,6/1/2006,89.65,1/6/2006,1/6/2006,2006,6,1
2006-05,5/1/2006,89.65,1/5/2006,1/5/2006,2006,5,1
2006-04,4/1/2006,89.27,1/4/2006,1/4/2006,2006,4,1
2006-03,3/1/2006,88.89,1/3/2006,1/3/2006,2006,3,1
2006-02,2/1/2006,88.64,1/2/2006,1/2/2006,2006,2,1
2006-01,1/1/2006,88.3,1/1/2006,1/1/2006,2006,1,1
2005-12,12/1/2005,88.39,1/12/2005,1/12/2005,2005,12,1
2005-11,11/1/2005,88.28,1/11/2005,1/11/2005,2005,11,1
2005-10,10/1/2005,88.46,1/10/2005,1/10/2005,2005,10,1
2005-09,9/1/2005,88.48,1/9/2005,1/9/2005,2005,9,1
2005-08,8/1/2005,88.14,1/8/2005,1/8/2005,2005,8,1
2005-07,7/1/2005,87.8,1/7/2005,1/7/2005,2005,7,1
2005-06,6/1/2005,87.93,1/6/2005,1/6/2005,2005,6,1
2005-05,5/1/2005,87.83,1/5/2005,1/5/2005,2005,5,1
2005-04,4/1/2005,87.77,1/4/2005,1/4/2005,2005,4,1
2005-03,3/1/2005,87.6,1/3/2005,1/3/2005,2005,3,1
2005-02,2/1/2005,87.05,1/2/2005,1/2/2005,2005,2,1
2005-01,1/1/2005,86.52,1/1/2005,1/1/2005,2005,1,1
2004-12,12/1/2004,87,1/12/2004,1/12/2004,2004,12,1
2004-11,11/1/2004,86.9,1/11/2004,1/11/2004,2004,11,1
2004-10,10/1/2004,86.85,1/10/2004,1/10/2004,2004,10,1
2004-09,9/1/2004,86.63,1/9/2004,1/9/2004,2004,9,1
2004-08,8/1/2004,86.55,1/8/2004,1/8/2004,2004,8,1
2004-07,7/1/2004,86.36,1/7/2004,1/7/2004,2004,7,1
2004-06,6/1/2004,86.5,1/6/2004,1/6/2004,2004,6,1
2004-05,5/1/2004,86.47,1/5/2004,1/5/2004,2004,5,1
2004-04,4/1/2004,86.15,1/4/2004,1/4/2004,2004,4,1
2004-03,3/1/2004,85.93,1/3/2004,1/3/2004,2004,3,1
2004-02,2/1/2004,85.59,1/2/2004,1/2/2004,2004,2,1
2004-01,1/1/2004,85.23,1/1/2004,1/1/2004,2004,1,1
2003-12,12/1/2003,85.23,1/12/2003,1/12/2003,2003,12,1
2003-11,11/1/2003,85.14,1/11/2003,1/11/2003,2003,11,1
2003-10,10/1/2003,85.04,1/10/2003,1/10/2003,2003,10,1
2003-09,9/1/2003,84.86,1/9/2003,1/9/2003,2003,9,1
2003-08,8/1/2003,84.54,1/8/2003,1/8/2003,2003,8,1
2003-07,7/1/2003,84.34,1/7/2003,1/7/2003,2003,7,1
2003-06,6/1/2003,84.43,1/6/2003,1/6/2003,2003,6,1
2003-05,5/1/2003,84.27,1/5/2003,1/5/2003,2003,5,1
2003-04,4/1/2003,84.37,1/4/2003,1/4/2003,2003,4,1
2003-03,3/1/2003,84.49,1/3/2003,1/3/2003,2003,3,1
2003-02,2/1/2003,84.15,1/2/2003,1/2/2003,2003,2,1
2003-01,1/1/2003,83.57,1/1/2003,1/1/2003,2003,1,1
2002-12,12/1/2002,83.41,1/12/2002,1/12/2002,2002,12,1
2002-11,11/1/2002,83.27,1/11/2002,1/11/2002,2002,11,1
2002-10,10/1/2002,83.27,1/10/2002,1/10/2002,2002,10,1
2002-09,9/1/2002,83.14,1/9/2002,1/9/2002,2002,9,1
2002-08,8/1/2002,82.99,1/8/2002,1/8/2002,2002,8,1
2002-07,7/1/2002,82.8,1/7/2002,1/7/2002,2002,7,1
2002-06,6/1/2002,82.8,1/6/2002,1/6/2002,2002,6,1
2002-05,5/1/2002,82.81,1/5/2002,1/5/2002,2002,5,1
2002-04,4/1/2002,82.71,1/4/2002,1/4/2002,2002,4,1
2002-03,3/1/2002,82.4,1/3/2002,1/3/2002,2002,3,1
2002-02,2/1/2002,82.04,1/2/2002,1/2/2002,2002,2,1
2002-01,1/1/2002,81.94,1/1/2002,1/1/2002,2002,1,1
2001-12,12/1/2001,81.56,1/12/2001,1/12/2001,2001,12,1
2001-11,11/1/2001,81.46,1/11/2001,1/11/2001,2001,11,1
2001-10,10/1/2001,81.68,1/10/2001,1/10/2001,2001,10,1
2001-09,9/1/2001,81.63,1/9/2001,1/9/2001,2001,9,1
2001-08,8/1/2001,81.48,1/8/2001,1/8/2001,2001,8,1
2001-07,7/1/2001,81.48,1/7/2001,1/7/2001,2001,7,1
2001-06,6/1/2001,81.65,1/6/2001,1/6/2001,2001,6,1
2001-05,5/1/2001,81.6,1/5/2001,1/5/2001,2001,5,1
2001-04,4/1/2001,81.1,1/4/2001,1/4/2001,2001,4,1
2001-03,3/1/2001,80.71,1/3/2001,1/3/2001,2001,3,1
2001-02,2/1/2001,80.35,1/2/2001,1/2/2001,2001,2,1
2001-01,1/1/2001,80.13,1/1/2001,1/1/2001,2001,1,1
2000-12,12/1/2000,80.47,1/12/2000,1/12/2000,2000,12,1
2000-11,11/1/2000,80.51,1/11/2000,1/11/2000,2000,11,1
2000-10,10/1/2000,80.33,1/10/2000,1/10/2000,2000,10,1
2000-09,9/1/2000,80.43,1/9/2000,1/9/2000,2000,9,1
2000-08,8/1/2000,80.02,1/8/2000,1/8/2000,2000,8,1
2000-07,7/1/2000,79.87,1/7/2000,1/7/2000,2000,7,1
2000-06,6/1/2000,80,1/6/2000,1/6/2000,2000,6,1
